image_path,question,answer, answer
e9/e9fd8bc5.jpg,What is the case's brand?,Solimo,
e9/e9fd8bc5.jpg,What is the primary material?,Silicon,
e9/e9fd8bc5.jpg,What is the design's theme?,Alone,
e9/e9fd8bc5.jpg,What is the product's type?,Case,
e9/e9fd8bc5.jpg,What is the dominant color?,Multicolor,
e9/e9fd8bc5.jpg,For what model is it?,M20,
2f/2f357c87.jpg,What brand is this case?,Solimo,
2f/2f357c87.jpg,What is the case's color?,Multicolor,
2f/2f357c87.jpg,What is the case's material?,Silicon,
2f/2f357c87.jpg,What is on the case?,Butterflies,
2f/2f357c87.jpg,What type of case is it?,Phone,
85/85192c70.jpg,What brand is this?,Solimo,
85/85192c70.jpg,What is the case material?,Silicon,
85/85192c70.jpg,What is the case's color?,Multicolor,
85/85192c70.jpg,What is the phone model?,M20,
85/85192c70.jpg,What is the product type?,Case,
85/85192c70.jpg,Are the sides transparent?,Yes,
85/85192c70.jpg,What is the pattern?,Butterfly,
fa/fabea2b9.jpg,What is the case's color?,Multicolor,
fa/fabea2b9.jpg,What is the brand name?,Solimo,
fa/fabea2b9.jpg,What is it made of?,Plastic,
fa/fabea2b9.jpg,What is the product type?,Case,
fa/fabea2b9.jpg,What is the phone model?,Samsung,
d8/d87e51cf.jpg,What is the brand?,Solimo,
d8/d87e51cf.jpg,What is the main material?,Plastic,
d8/d87e51cf.jpg,What is the product color?,Multicolor,
d8/d87e51cf.jpg,What type of case is it?,Case,
d8/d87e51cf.jpg,For which phone model?,M21,
d8/d87e51cf.jpg,What is the item type?,Cover,
2a/2af5eb88.jpg,What is the case's brand? , Solimo,
2a/2af5eb88.jpg,What is the material? , Plastic,
2a/2af5eb88.jpg,What is the case's color?, Multicolor,
2a/2af5eb88.jpg,What type of product is this?, Case,
2a/2af5eb88.jpg,Which phone is this for?, Samsung,
4e/4e0d982e.jpg,What is the case's color?,Multicolor,
4e/4e0d982e.jpg,What is the brand name?,Solimo,
4e/4e0d982e.jpg,What is it made of?,Plastic,
4e/4e0d982e.jpg,What is the item type?,Case,
4e/4e0d982e.jpg,For what phone is this?,Samsung,
36/36cae1bf.jpg,What brand is this?,Solimo,
36/36cae1bf.jpg,What is the case's material?,Plastic,
36/36cae1bf.jpg,What is the color of the case?,Multicolor,
36/36cae1bf.jpg,What is this item?,Case,
36/36cae1bf.jpg,What is the lift in mm?,0.98,
3c/3c58a39d.jpg,What is the case's brand?,Solimo,
3c/3c58a39d.jpg,What is the case's material?,Plastic,
3c/3c58a39d.jpg,What is the color of case?,Multicolor,
3c/3c58a39d.jpg,What is the phone model?,A91,
3c/3c58a39d.jpg,Is it hard or soft?,Hard,
3c/3c58a39d.jpg,Is there couple on the case?,Yes,
d8/d87e51cf.jpg,What is the case's material?,Plastic,
d8/d87e51cf.jpg,What is the brand name?,Solimo,
d8/d87e51cf.jpg,What is the phone case's color?,Multicolor,
d8/d87e51cf.jpg,What is the model name?,Oppo,
d8/d87e51cf.jpg,What type of product is it?,Case,
7b/7b9b34f8.jpg,What is the case color?,Multicolor,
7b/7b9b34f8.jpg,What is the case material?,Plastic,
7b/7b9b34f8.jpg,What's the brand name?,Solimo,
7b/7b9b34f8.jpg,What is the model's name?,Oppo,
7b/7b9b34f8.jpg,What is the case design?,Couple,
7b/7b9b34f8.jpg,What type of case is this?,Hard,
36/36cae1bf.jpg,What is the brand?,Solimo,
36/36cae1bf.jpg,What is the color?,Multicolor,
36/36cae1bf.jpg,What is it made of?,Plastic,
36/36cae1bf.jpg,What kind of product?,Case,
36/36cae1bf.jpg,What is the model?,A91,
2a/2af5eb88.jpg,What is the brand?,Solimo,
2a/2af5eb88.jpg,What is the cover material?,Plastic,
2a/2af5eb88.jpg,What type of case is this?,Hard,
2a/2af5eb88.jpg,What is the phone case color?,Multicolor,
2a/2af5eb88.jpg,Is the case designer?,Yes,
f2/f29f33bf.jpg,What is the brand?,Solimo,
f2/f29f33bf.jpg,What is the color?,Pink,
f2/f29f33bf.jpg,What is the product type?,Case,
f2/f29f33bf.jpg,What is the print type?,3D,
f2/f29f33bf.jpg,What is the pattern?,Birds,
f2/f29f33bf.jpg,Which mobile is it for?,Lenovo,
ee/ee8ee952.jpg,What is the brand?,Solimo,
ee/ee8ee952.jpg,What type of case?,Back,
ee/ee8ee952.jpg,What is the phone model?,Lenovo,
ee/ee8ee952.jpg,What is the cover design?,Birds,
ee/ee8ee952.jpg,Is it hard?,Yes,
ee/ee8ee952.jpg,What is the print style?,3D,
ee/ee8ee952.jpg,What is the case color?,Others,
49/49b1b22b.jpg,What is the product brand?,Solimo,
49/49b1b22b.jpg,What type of case is this?,Hard,
49/49b1b22b.jpg,What is the cover's color?,Others,
49/49b1b22b.jpg,What is the cover design?,Birds,
49/49b1b22b.jpg,Is the design printed?,Yes,
49/49b1b22b.jpg,What is the model name?,Lenovo,
66/66f3a68c.jpg,What is the brand?,Solimo,
66/66f3a68c.jpg,What is the case type?,Hard,
66/66f3a68c.jpg,What is the design?,Birds,
66/66f3a68c.jpg,Is it printed?,Yes,
66/66f3a68c.jpg,What is the phone model?,Lenovo,
66/66f3a68c.jpg,What is the color?,Others,
3d/3d31c439.jpg,What is the brand?,Solimo,
3d/3d31c439.jpg,What is the case's color?,Pink,
3d/3d31c439.jpg,What is the cover's pattern?,Birds,
3d/3d31c439.jpg,What is the product type?,Case,
3d/3d31c439.jpg,Is it a hard case?,Yes,
3d/3d31c439.jpg,Is it a slim case?,Yes,
03/03fde183.jpg,What type of tea is this?,Black,
03/03fde183.jpg,Is this tea organic?,Yes,
03/03fde183.jpg,How many tea bags?,Seventy,
03/03fde183.jpg,What is the brand?,365,
03/03fde183.jpg,Contains what?,Caffeine,
48/48dd8c3e.jpg,What kind of tea is this?,Black,
48/48dd8c3e.jpg,What is the brand?,365,
48/48dd8c3e.jpg,Is the tea organic?,Yes,
48/48dd8c3e.jpg,What count is the tea bag?,70,
48/48dd8c3e.jpg,Does the tea contain caffeine?,Yes,
bc/bc6f418f.jpg,What is the brand?,365,
bc/bc6f418f.jpg,What kind of tea is it?,Black,
bc/bc6f418f.jpg,Is it organic?,Yes,
bc/bc6f418f.jpg,How many tea bags?,Seventy,
bc/bc6f418f.jpg,Is it caffeinated?,Yes,
e2/e2a19fbf.jpg,What is the brand?,365,
e2/e2a19fbf.jpg,What kind of tea is it?,Black,
e2/e2a19fbf.jpg,Are the teas organic?,Yes,
e2/e2a19fbf.jpg,What kind of product is it?,Grocery,
f7/f712800d.jpg,What kind of tea is it?,Black,
f7/f712800d.jpg,What is the product form?,Bags,
f7/f712800d.jpg,What is the tea described as?,Organic,
f7/f712800d.jpg,What is the brand?,365,
f7/f712800d.jpg,What type of product is this?,Grocery,
9e/9e784801.jpg,What kind of tea is it?,Black,
9e/9e784801.jpg,What is the brand?,365,
9e/9e784801.jpg,Is it organic?,Yes,
9e/9e784801.jpg,What food category is this?,Grocery,
9e/9e784801.jpg,What quantity is inside?,70,
9e/9e784801.jpg,Is it kosher?,Yes,
a1/a19164f9.jpg,What color are the pads?,White,
a1/a19164f9.jpg,What is the product's brand?,AmazonBasics,
